,Team,Salary,Player,Position,Season,Playoffs,Team Winning Percentage
1773,Miami Heat,36395.0,Kasib Powell, SF,2008,Did not make the Playoffs,0.183
1774,San Antonio Spurs,27198.0,DerMarr Johnson, SF,2008,Conf Finals,0.6829999999999999
1775,Memphis Grizzlies,24263.0,Bobby Jones, SF,2008,Did not make the Playoffs,0.268
1776,Toronto Raptors,4533.0,Linton Johnson, PF,2008,Conf First Round,0.5
1777,New Jersey Nets,4533.0,Billy Thomas, SG,2008,Did not make the Playoffs,0.415
1778,Boston Celtics,24751934.0,Kevin Garnett, PF,2009,Conf Semifinals,0.7559999999999999
1779,Boston Celtics,18388430.0,Ray Allen, SG,2009,Conf Semifinals,0.7559999999999999
1780,Dallas Mavericks,18077904.0,Dirk Nowitzki, PF,2009,Conf Semifinals,0.61
1781,Boston Celtics,18077903.0,Paul Pierce, SF,2009,Conf Semifinals,0.7559999999999999
1782,Toronto Raptors,17810000.0,Shawn Marion, SG,2009,Did not make the Playoffs,0.402
1783,Orlando Magic,16447871.0,Rashard Lewis, PF,2009,Finals,0.72
1784,Milwaukee Bucks,15780000.0,Michael Redd, SG,2009,Did not make the Playoffs,0.415
1785,Los Angeles Lakers,15106000.0,Pau Gasol, C,2009,Champion,0.7929999999999999
1786,Utah Jazz,15106000.0,Andrei Kirilenko, SF,2009,Conf First Round,0.585
1787,Phoenix Suns,15070550.0,Amar'e Stoudemire, C,2009,Did not make the Playoffs,0.561
1788,Houston Rockets,15070550.0,Yao Ming, C,2009,Conf Semifinals,0.6459999999999999
1789,Dallas Mavericks,21372000.0,Jason Kidd, PG,2009,Conf Semifinals,0.61
1790,Atlanta Hawks,14983603.0,Mike Bibby, PG,2009,Conf Semifinals,0.573
1791,New Jersey Nets,14724125.0,Vince Carter, SF,2009,Did not make the Playoffs,0.415
1792,New York Knicks,14666667.0,Zach Randolph, PF,2009,Did not make the Playoffs,0.39
1793,Washington Wizards,14653466.0,Gilbert Arenas, PG,2009,Did not make the Playoffs,0.23199999999999998
1794,Cleveland Cavaliers,14500000.0,Ben Wallace, PF,2009,Conf Finals,0.805
1795,Denver Nuggets,14431816.0,Kenyon Martin, PF,2009,Conf Finals,0.659
1796,Miami Heat,14410581.0,Dwyane Wade, SG,2009,Conf First Round,0.524
1797,Toronto Raptors,14410581.0,Chris Bosh, PF,2009,Did not make the Playoffs,0.402
1798,Cleveland Cavaliers,14410581.0,LeBron James, SF,2009,Conf Finals,0.805
1799,Denver Nuggets,14410581.0,Carmelo Anthony, PF,2009,Conf Finals,0.659
1800,Toronto Raptors,21372000.0,Jermaine O'Neal, C,2009,Did not make the Playoffs,0.402
1801,Atlanta Hawks,14232567.0,Joe Johnson, G,2009,Conf Semifinals,0.573
1802,Los Angeles Lakers,14148596.0,Lamar Odom, PF,2009,Champion,0.7929999999999999
1803,Detroit Pistons,13930000.0,Rasheed Wallace, PF,2009,Conf First Round,0.47600000000000003
1804,Cleveland Cavaliers,13775000.0,Wally Szczerbiak, SG,2009,Conf Finals,0.805
1805,Orlando Magic,13758000.0,Dwight Howard, C,2009,Finals,0.72
1806,Philadelphia 76ers,13757844.0,Elton Brand, PF,2009,Conf First Round,0.5
1807,Milwaukee Bucks,13200000.0,Richard Jefferson, F,2009,Did not make the Playoffs,0.415
1808,New York Knicks,12827676.0,Larry Hughes, SG,2009,Did not make the Playoffs,0.39
1809,Portland Trail Blazers,12722500.0,Raef LaFrentz, C,2009,Conf First Round,0.659
1810,New Orleans Hornets,12528000.0,Peja Stojakovic, SF,2009,Conf First Round,0.598
1811,Los Angeles Lakers,21262500.0,Kobe Bryant, SF,2009,Champion,0.7929999999999999
1812,Phoenix Suns,12250000.0,Steve Nash, PG,2009,Did not make the Playoffs,0.561
1813,Phoenix Suns,21000000.0,Shaquille O'Neal, C,2009,Did not make the Playoffs,0.561
1814,Detroit Pistons,20840625.0,Allen Iverson, SG,2009,Conf First Round,0.47600000000000003
1815,Boston Celtics,20840625.0,Stephon Marbury, PG,2009,Conf Semifinals,0.7559999999999999
1816,San Antonio Spurs,20598704.0,Tim Duncan, C,2009,Conf First Round,0.659
1817,Houston Rockets,20370437.0,Tracy McGrady, SG,2009,Conf Semifinals,0.6459999999999999
1818,Charlotte Bobcats,12222221.0,Jason Richardson, SG,2009,Did not make the Playoffs,0.42700000000000005
1819,Utah Jazz,11593817.0,Carlos Boozer, PF,2009,Conf First Round,0.585
1820,Dallas Mavericks,11553000.0,Erick Dampier, C,2009,Conf Semifinals,0.61
1821,San Antonio Spurs,11550000.0,Tony Parker, PG,2009,Conf First Round,0.659
1822,Sacramento Kings,11375000.0,Brad Miller, C,2009,Did not make the Playoffs,0.207
1823,New Orleans Hornets,11350000.0,Tyson Chandler, C,2009,Conf First Round,0.598
1824,Philadelphia 76ers,11300000.0,Andre Iguodala, SG,2009,Conf First Round,0.5
1825,Los Angeles Clippers,11250000.0,Baron Davis, PG,2009,Did not make the Playoffs,0.23199999999999998
1826,Philadelphia 76ers,11238564.0,Samuel Dalembert, C,2009,Conf First Round,0.5
1827,Detroit Pistons,11050000.0,Chauncey Billups, PG,2009,Conf First Round,0.47600000000000003
1828,Minnesota Timberwolves,11000000.0,Al Jefferson, C,2009,Did not make the Playoffs,0.293
1829,Golden State Warriors,11000000.0,Monta Ellis, SG,2009,Did not make the Playoffs,0.354
1830,Cleveland Cavaliers,10841615.0,Zydrunas Ilgauskas, C,2009,Conf Finals,0.805
1831,Detroit Pistons,10812500.0,Richard Hamilton, SG,2009,Conf First Round,0.47600000000000003
1832,New Jersey Nets,10602667.0,Bobby Simmons, SF,2009,Did not make the Playoffs,0.415
1833,Philadelphia 76ers,10333334.0,Andre Miller, PG,2009,Conf First Round,0.5
1834,Indiana Pacers,10126984.0,Troy Murphy, PF,2009,Did not make the Playoffs,0.439
1835,Los Angeles Clippers,10000000.0,Marcus Camby, C,2009,Did not make the Playoffs,0.23199999999999998
1836,Chicago Bulls,10000000.0,Kirk Hinrich, SG,2009,Conf First Round,0.5
1837,Dallas Mavericks,9945000.0,Josh Howard, SF,2009,Conf Semifinals,0.61
1838,Washington Wizards,9923285.0,Antawn Jamison, PF,2009,Did not make the Playoffs,0.23199999999999998
1839,San Antonio Spurs,9905248.0,Manu Ginobili, G,2009,Conf First Round,0.659
1840,New Orleans Hornets,9862500.0,David West, F,2009,Conf First Round,0.598
1841,New York Knicks,9723983.0,Eddy Curry, C,2009,Did not make the Playoffs,0.39
1842,Denver Nuggets,9680000.0,Nene Hilario, C,2009,Conf Finals,0.659
1843,Charlotte Bobcats,9537500.0,Emeka Okafor, C,2009,Did not make the Playoffs,0.42700000000000005
1844,Charlotte Bobcats,9500000.0,Gerald Wallace, SF,2009,Did not make the Playoffs,0.42700000000000005
1845,Los Angeles Clippers,9500000.0,Chris Kaman, C,2009,Did not make the Playoffs,0.23199999999999998
1846,Detroit Pistons,9500000.0,Tayshaun Prince, SF,2009,Conf First Round,0.47600000000000003
1847,Chicago Bulls,9385000.0,Luol Deng, SF,2009,Conf First Round,0.5
1848,Washington Wizards,9249980.0,Caron Butler, SF,2009,Did not make the Playoffs,0.23199999999999998
1849,New York Knicks,9226250.0,Al Harrington, PF,2009,Did not make the Playoffs,0.39
1850,Dallas Mavericks,9196000.0,Jason Terry, G,2009,Conf Semifinals,0.61
1851,Minnesota Timberwolves,9052460.0,Antoine Walker, PF,2009,Did not make the Playoffs,0.293
1852,Minnesota Timberwolves,9028575.0,Mike Miller, SG,2009,Did not make the Playoffs,0.293
1853,Golden State Warriors,9000000.0,Andris Biedrins, C,2009,Did not make the Playoffs,0.354
1854,Charlotte Bobcats,9000000.0,Boris Diaw, C,2009,Did not make the Playoffs,0.42700000000000005
1855,Indiana Pacers,9000000.0,Mike Dunleavy, SG,2009,Did not make the Playoffs,0.439
1856,Los Angeles Clippers,8925000.0,Cuttino Mobley, SG,2009,Did not make the Playoffs,0.23199999999999998
1857,Sacramento Kings,8760335.0,Kevin Martin, SG,2009,Did not make the Playoffs,0.207
1858,Indiana Pacers,6864200.0,Marquis Daniels, SG,2009,Did not make the Playoffs,0.439
1859,Washington Wizards,6864200.0,Etan Thomas, C,2009,Did not make the Playoffs,0.23199999999999998
1860,Utah Jazz,6750000.0,Jamaal Tinsley, PG,2009,Conf First Round,0.585
1861,Oklahoma City Thunder,6750000.0,Chris Wilcox, PF,2009,Did not make the Playoffs,0.28
1862,Memphis Grizzlies,6575000.0,Marko Jaric, PG,2009,Did not make the Playoffs,0.293
1863,Miami Heat,6575000.0,Udonis Haslem, PF,2009,Conf First Round,0.524
1864,Milwaukee Bucks,6500000.0,Luke Ridnour, PG,2009,Did not make the Playoffs,0.415
1865,Sacramento Kings,6487888.0,Bobby Jackson, PG,2009,Did not make the Playoffs,0.207
1866,Houston Rockets,6448900.0,Shane Battier, SF,2009,Conf Semifinals,0.6459999999999999
1867,Chicago Bulls,6404750.0,Ben Gordon, SG,2009,Conf First Round,0.5
1868,Oklahoma City Thunder,6350000.0,Nick Collison, F,2009,Did not make the Playoffs,0.28
1869,Portland Trail Blazers,6310150.0,Joel Przybilla, C,2009,Conf First Round,0.659
1870,Minnesota Timberwolves,6300000.0,Brian Cardinal, PF,2009,Did not make the Playoffs,0.293
1871,Milwaukee Bucks,6294195.0,Andrew Bogut, C,2009,Did not make the Playoffs,0.415
1872,Milwaukee Bucks,6250195.0,Dan Gadzuric, C,2009,Did not make the Playoffs,0.415
1873,Washington Wizards,6244093.0,Mike James, PG,2009,Did not make the Playoffs,0.23199999999999998
1874,Washington Wizards,6200000.0,Antonio Daniels, PG,2009,Did not make the Playoffs,0.23199999999999998
1875,Oklahoma City Thunder,6200000.0,Earl Watson, PG,2009,Did not make the Playoffs,0.28
1876,Sacramento Kings,6200000.0,Shareef Abdur-Rahim, PF,2009,Did not make the Playoffs,0.207
1877,New York Knicks,6200000.0,Jerome James, C,2009,Did not make the Playoffs,0.39
1878,Phoenix Suns,6100000.0,Leandro Barbosa, G,2009,Did not make the Playoffs,0.561
1879,New York Knicks,8685500.0,Quentin Richardson, SF,2009,Did not make the Playoffs,0.39
1880,New York Knicks,8640000.0,Jamal Crawford, SG,2009,Did not make the Playoffs,0.39
1881,Sacramento Kings,8562500.0,Kenny Thomas, PF,2009,Did not make the Playoffs,0.207
1882,Miami Heat,8513916.0,Mark Blount, C,2009,Conf First Round,0.524
1883,Utah Jazz,8500000.0,Mehmet Okur, C,2009,Conf First Round,0.585
1884,Indiana Pacers,8400000.0,Rasho Nesterovic, C,2009,Did not make the Playoffs,0.439
1885,Cleveland Cavaliers,8353000.0,Mo Williams, PG,2009,Conf Finals,0.805
1886,Golden State Warriors,8275862.0,Corey Maggette, SF,2009,Did not make the Playoffs,0.354
1887,Sacramento Kings,8000000.0,Andres Nocioni, SF,2009,Did not make the Playoffs,0.207
1888,Indiana Pacers,8000000.0,T.J. Ford, PG,2009,Did not make the Playoffs,0.439
1889,New Jersey Nets,7800000.0,Devin Harris, PG,2009,Did not make the Playoffs,0.415
1890,Orlando Magic,7700000.0,Jameer Nelson, G,2009,Finals,0.72
1891,Oklahoma City Thunder,7647500.0,Malik Rose, PF,2009,Did not make the Playoffs,0.28
1892,Toronto Raptors,7438018.0,Jose Calderon, PG,2009,Did not make the Playoffs,0.402
1893,Houston Rockets,7400000.0,Metta World Peace, SF,2009,Conf Semifinals,0.6459999999999999
1894,Cleveland Cavaliers,7312500.0,Eric Snow, PG,2009,Conf Finals,0.805
1895,Golden State Warriors,7140000.0,Stephen Jackson, SF,2009,Did not make the Playoffs,0.354
1896,Memphis Grizzlies,7020000.0,Darko Milicic, C,2009,Did not make the Playoffs,0.293
1897,Dallas Mavericks,7000000.0,Jerry Stackhouse, SF,2009,Conf Semifinals,0.61
1898,Sacramento Kings,6077151.0,John Salmons, SF,2009,Did not make the Playoffs,0.207
1899,New York Knicks,6049400.0,Jared Jeffries, PF,2009,Did not make the Playoffs,0.39
1900,Charlotte Bobcats,6049400.0,Nazr Mohammed, C,2009,Did not make the Playoffs,0.42700000000000005
1901,Charlotte Bobcats,6049400.0,Vladimir Radmanovic, SF,2009,Did not make the Playoffs,0.42700000000000005
1902,Utah Jazz,6000000.0,Matt Harpring, SF,2009,Conf First Round,0.585
1903,Toronto Raptors,5784480.0,Jason Kapono, SG,2009,Did not make the Playoffs,0.402
1904,Cleveland Cavaliers,5784480.0,Anderson Varejao, C,2009,Conf Finals,0.805
1905,Atlanta Hawks,5757818.0,Speedy Claxton, PG,2009,Conf Semifinals,0.573
1906,Orlando Magic,5746000.0,Tony Battie, C,2009,Finals,0.72
1907,Atlanta Hawks,5636142.0,Marvin Williams, PF,2009,Conf Semifinals,0.573
1908,Sacramento Kings,5632200.0,Mikki Moore, C,2009,Did not make the Playoffs,0.207
1909,New Orleans Hornets,5592240.0,Morris Peterson, SG,2009,Conf First Round,0.598
1910,New York Knicks,5585000.0,Chris Duhon, PG,2009,Did not make the Playoffs,0.39
1911,Sacramento Kings,5585000.0,Beno Udrih, PG,2009,Did not make the Playoffs,0.207
1912,Charlotte Bobcats,5585000.0,DeSagana Diop, C,2009,Did not make the Playoffs,0.42700000000000005
1913,Washington Wizards,5500000.0,Brendan Haywood, C,2009,Did not make the Playoffs,0.23199999999999998
1914,Indiana Pacers,5500000.0,Jeff Foster, PF,2009,Did not make the Playoffs,0.439
1915,Orlando Magic,5300000.0,Mickael Pietrus, SF,2009,Finals,0.72
1916,Oklahoma City Thunder,5300000.0,Desmond Mason, SF,2009,Did not make the Playoffs,0.28
1917,Toronto Raptors,5176440.0,Andrea Bargnani, C,2009,Did not make the Playoffs,0.402
1918,Utah Jazz,5069449.0,Deron Williams, PG,2009,Conf First Round,0.585
1919,Charlotte Bobcats,5050000.0,Matt Carroll, SG,2009,Did not make the Playoffs,0.42700000000000005
1920,Portland Trail Blazers,5011680.0,Greg Oden, C,2009,Conf First Round,0.659
1921,Charlotte Bobcats,5000000.0,Raja Bell, SG,2009,Did not make the Playoffs,0.42700000000000005
1922,Denver Nuggets,4985001.0,JR Smith, SG,2009,Conf Finals,0.659
1923,Utah Jazz,4956818.0,Kyle Korver, SG,2009,Conf First Round,0.585
1924,Orlando Magic,4900000.0,Rafer Alston, PG,2009,Finals,0.72
1925,Chicago Bulls,4822800.0,Derrick Rose, PG,2009,Conf First Round,0.5
1926,Oklahoma City Thunder,4778548.0,Nenad Krstic, C,2009,Did not make the Playoffs,0.28
1927,Los Angeles Lakers,4700000.0,Derek Fisher, PG,2009,Champion,0.7929999999999999
1928,Philadelphia 76ers,4640000.0,Reggie Evans, C,2009,Conf First Round,0.5
1929,Portland Trail Blazers,4631400.0,LaMarcus Aldridge, PF,2009,Conf First Round,0.659
1930,Boston Celtics,4578880.0,Kendrick Perkins, C,2009,Conf Semifinals,0.7559999999999999
1931,New Orleans Hornets,4574189.0,Chris Paul, PG,2009,Conf First Round,0.598
1932,Toronto Raptors,4550000.0,Anthony Parker, SG,2009,Did not make the Playoffs,0.402
1933,Los Angeles Lakers,4524887.0,Sasha Vujacic, SG,2009,Champion,0.7929999999999999
1934,Cleveland Cavaliers,4500000.0,Sasha Pavlovic, SG,2009,Conf Finals,0.805
1935,Philadelphia 76ers,4500000.0,Lou Williams, SG,2009,Conf First Round,0.5
1936,Oklahoma City Thunder,4484040.0,Kevin Durant, SF,2009,Did not make the Playoffs,0.28
1937,Milwaukee Bucks,4460186.0,Damon Jones, PG,2009,Did not make the Playoffs,0.415
1938,Los Angeles Lakers,4420000.0,Luke Walton, SF,2009,Champion,0.7929999999999999
1939,New Jersey Nets,4350000.0,Trenton Hassell, SF,2009,Did not make the Playoffs,0.415
1940,Miami Heat,4314960.0,Michael Beasley, SF,2009,Conf First Round,0.524
1941,Toronto Raptors,4260000.0,Marcus Banks, PG,2009,Did not make the Playoffs,0.402
1942,Portland Trail Blazers,4250000.0,Steve Blake, PG,2009,Conf First Round,0.659
1943,Washington Wizards,4235000.0,Darius Songaila, PF,2009,Did not make the Playoffs,0.23199999999999998
1944,San Antonio Spurs,4200000.0,Kurt Thomas, PF,2009,Conf First Round,0.659
1945,Charlotte Bobcats,4159200.0,Adam Morrison, SF,2009,Did not make the Playoffs,0.42700000000000005
1946,Charlotte Bobcats,4148715.0,Raymond Felton, PG,2009,Did not make the Playoffs,0.42700000000000005
1947,Atlanta Hawks,4023720.0,Al Horford, C,2009,Conf Semifinals,0.573
1948,Memphis Grizzlies,4010005.0,Greg Buckner, SG,2009,Did not make the Playoffs,0.293
1949,Miami Heat,4010000.0,James Jones, SG,2009,Conf First Round,0.524
1950,Detroit Pistons,4000000.0,Kwame Brown, C,2009,Conf First Round,0.47600000000000003
1951,San Antonio Spurs,4000000.0,Bruce Bowen, SF,2009,Conf First Round,0.659
1952,Atlanta Hawks,4000000.0,Zaza Pachulia, C,2009,Conf Semifinals,0.573
1953,Memphis Grizzlies,3875040.0,O.J. Mayo, SG,2009,Did not make the Playoffs,0.293
1954,Memphis Grizzlies,3862600.0,Steven Hunter, C,2009,Did not make the Playoffs,0.293
1955,Cleveland Cavaliers,3850000.0,Delonte West, SG,2009,Conf Finals,0.805
1956,Dallas Mavericks,3792112.0,Keith Van Horn, PF,2009,Conf Semifinals,0.61
1957,Portland Trail Blazers,3771133.0,Martell Webster, SF,2009,Conf First Round,0.659
1958,Chicago Bulls,3749880.0,Tyrus Thomas, PF,2009,Conf First Round,0.5
1959,Utah Jazz,3700000.0,CJ Miles, SF,2009,Conf First Round,0.585
1960,Cleveland Cavaliers,3700000.0,Daniel Gibson, SG,2009,Conf Finals,0.805
1961,Detroit Pistons,3666667.0,Amir Johnson, C,2009,Conf First Round,0.47600000000000003
1962,Minnesota Timberwolves,3650000.0,Ryan Gomes, SF,2009,Did not make the Playoffs,0.293
1963,Memphis Grizzlies,3630480.0,Mike Conley, PG,2009,Did not make the Playoffs,0.293
1964,New Orleans Hornets,3630000.0,Rasual Butler, SF,2009,Conf First Round,0.598
1965,Washington Wizards,3616072.0,DeShawn Stevenson, SG,2009,Did not make the Playoffs,0.23199999999999998
1966,San Antonio Spurs,3600000.0,Fabricio Oberto, C,2009,Conf First Round,0.659
1967,Oklahoma City Thunder,3579131.0,Robert Swift, C,2009,Did not make the Playoffs,0.28
1968,San Antonio Spurs,3500000.0,Roger Mason Jr., SG,2009,Conf First Round,0.659
1969,Orlando Magic,3500000.0,Brian Cook, PF,2009,Finals,0.72
1970,Oklahoma City Thunder,3493680.0,Russell Westbrook, PG,2009,Did not make the Playoffs,0.28
1971,Milwaukee Bucks,3448050.0,Charlie Villanueva, PF,2009,Did not make the Playoffs,0.415
1972,Sacramento Kings,3395760.0,Shelden Williams, C,2009,Did not make the Playoffs,0.207
1973,Philadelphia 76ers,3388000.0,Willie Green, SG,2009,Conf First Round,0.5
1974,Milwaukee Bucks,3354480.0,Charlie Bell, SG,2009,Did not make the Playoffs,0.415
1975,New Jersey Nets,3300000.0,Keyon Dooling, PG,2009,Did not make the Playoffs,0.415
1976,Oklahoma City Thunder,3287640.0,Jeff Green, SF,2009,Did not make the Playoffs,0.28
1977,New Jersey Nets,3250000.0,Eduardo Najera, PF,2009,Did not make the Playoffs,0.415
1978,Oklahoma City Thunder,3240000.0,Chucky Atkins, PG,2009,Did not make the Playoffs,0.28
1979,Boston Celtics,3206897.0,Brian Scalabrine, PF,2009,Conf Semifinals,0.7559999999999999
1980,Toronto Raptors,3200000.0,Kris Humphries, PF,2009,Did not make the Playoffs,0.402
1981,Portland Trail Blazers,3163769.0,Channing Frye, F,2009,Conf First Round,0.659
1982,Minnesota Timberwolves,3163680.0,Kevin Love, PF,2009,Did not make the Playoffs,0.293
1983,Houston Rockets,3100667.0,Luis Scola, F,2009,Conf Semifinals,0.6459999999999999
1984,Los Angeles Lakers,3100000.0,Trevor Ariza, SF,2009,Champion,0.7929999999999999
1985,Oklahoma City Thunder,3100000.0,Damien Wilkins, SG,2009,Did not make the Playoffs,0.28
1986,Memphis Grizzlies,3093333.0,Marc Gasol, C,2009,Did not make the Playoffs,0.293
1987,Portland Trail Blazers,3084240.0,Brandon Roy, SG,2009,Conf First Round,0.659
1988,Houston Rockets,3000000.0,Carl Landry, PF,2009,Conf Semifinals,0.6459999999999999
1989,New Jersey Nets,2986080.0,Yi Jianlian, SF,2009,Did not make the Playoffs,0.415
1990,San Antonio Spurs,2978000.0,Matt Bonner, C,2009,Conf First Round,0.659
1991,Sacramento Kings,2912823.0,Ike Diogu, PF,2009,Did not make the Playoffs,0.207
1992,Golden State Warriors,2900000.0,Kelenna Azubuike, SF,2009,Did not make the Playoffs,0.354
1993,New York Knicks,2873520.0,Danilo Gallinari, SF,2009,Did not make the Playoffs,0.39
1994,Minnesota Timberwolves,2815560.0,Randy Foye, SG,2009,Did not make the Playoffs,0.293
1995,Los Angeles Lakers,2769300.0,Andrew Bynum, C,2009,Champion,0.7929999999999999
1996,Washington Wizards,2739669.0,Andray Blatche, C,2009,Did not make the Playoffs,0.23199999999999998
1997,Minnesota Timberwolves,2725920.0,Corey Brewer, F,2009,Did not make the Playoffs,0.293
1998,Charlotte Bobcats,2661027.0,Sean May, C,2009,Did not make the Playoffs,0.42700000000000005
1999,Boston Celtics,2650000.0,Eddie House, SG,2009,Conf Semifinals,0.7559999999999999
2000,Houston Rockets,2634480.0,Steve Francis, PG,2009,Conf Semifinals,0.6459999999999999
2001,Minnesota Timberwolves,2630000.0,Mark Madsen, PF,2009,Did not make the Playoffs,0.293
2002,Los Angeles Clippers,2623200.0,Eric Gordon, SG,2009,Did not make the Playoffs,0.23199999999999998
2003,Sacramento Kings,2620126.0,Rashad McCants, SG,2009,Did not make the Playoffs,0.207
2004,Miami Heat,2612835.0,Dorell Wright, SF,2009,Conf First Round,0.524
2005,Memphis Grizzlies,2579400.0,Rudy Gay, SF,2009,Did not make the Playoffs,0.293
2006,Orlando Magic,2565000.0,Keith Bogans, SG,2009,Finals,0.72
2007,Minnesota Timberwolves,2500000.0,Craig Smith, PF,2009,Did not make the Playoffs,0.293
2008,Los Angeles Lakers,2500000.0,Chris Mihm, C,2009,Champion,0.7929999999999999
2009,San Antonio Spurs,2500000.0,Michael Finley, SG,2009,Conf First Round,0.659
2010,Golden State Warriors,2497320.0,Brandan Wright, F,2009,Did not make the Playoffs,0.354
